core,section,start,end,cycles,snitch_loads,snitch_stores,snitch_avg_load_latency,snitch_occupancy,total_ipc,snitch_issues,num_cores,num_data,num_local_data,max_val,seed
0,0,18928,22228,3301,512,512,10.25390625,0.4286579824295668,0.4286579824295668,1415,1,2,-1,32,1671362532
0,1,22230,28305,6076,590,102,4.149152542372882,0.5288018433179723,0.5288018433179723,3213,1,2,-1,32,1671362532
0,2,28307,28307,1,0,0,0.0,1.0,1.0,1,1,2,-1,32,1671362532
1,0,19828,31312,11485,279,283,9.581227436823104,0.1259904222899434,0.1259904222899434,1447,2,2,-1,32,1671362532
1,1,31314,33755,2442,315,49,1.4126984126984128,0.7002457002457002,0.7002457002457002,1710,2,2,-1,32,1671362532
1,2,33757,34682,926,6,1,1.6666666666666667,0.032397408207343416,0.032397408207343416,30,2,2,-1,32,1671362532
0,0,19809,31312,11504,295,2607,9.316326530612244,0.7625173852573018,0.7625173852573018,8772,2,2,-1,32,1671362532
0,1,31314,34548,3235,403,105,1.7866004962779156,0.714064914992272,0.714064914992272,2310,2,2,-1,32,1671362532
0,2,34550,34689,140,20,5,2.473684210526316,0.5071428571428571,0.5071428571428571,71,2,2,-1,32,1671362532
1,0,19824,30542,10719,161,154,8.9875,0.08312342569269521,0.08312342569269521,891,4,2,-1,32,1671362532
1,1,30544,33615,3072,306,68,2.833333333333333,0.6490885416666666,0.6490885416666666,1994,4,2,-1,32,1671362532
1,2,33617,34278,662,6,1,1.6666666666666667,0.04531722054380664,0.04531722054380664,30,4,2,-1,32,1671362532
2,0,19847,30542,10696,166,154,8.818181818181818,0.08704188481675393,0.08704188481675393,931,4,2,-1,32,1671362532
2,1,30544,32806,2263,244,37,2.5778688524590163,0.6760936809544852,0.6760936809544852,1530,4,2,-1,32,1671362532
2,2,32808,34278,1471,6,1,1.6666666666666667,0.020394289598912305,0.020394289598912305,30,4,2,-1,32,1671362532
3,0,19844,30542,10699,172,155,8.705882352941176,0.09122347882979716,0.09122347882979716,976,4,2,-1,32,1671362532
3,1,30544,32940,2397,246,57,2.4227642276422765,0.6408010012515645,0.6408010012515645,1536,4,2,-1,32,1671362532
3,2,32942,34278,1337,19,3,2.333333333333333,0.0568436798803291,0.0568436798803291,76,4,2,-1,32,1671362532
0,0,19805,30542,10738,155,2479,9.0,0.7482771465822313,0.7482771465822313,8035,4,2,-1,32,1671362532
0,1,30544,34094,3551,345,89,2.9420289855072466,0.6460152069839482,0.6460152069839482,2294,4,2,-1,32,1671362532
0,2,34096,34285,190,30,6,2.4285714285714284,0.5631578947368421,0.5631578947368421,107,4,2,-1,32,1671362532
1,0,19786,29107,9322,97,90,8.291666666666666,0.061252950010727315,0.061252950010727315,571,8,2,-1,32,1671362532
1,1,29109,30604,1496,147,25,2.9251700680272115,0.6483957219251337,0.6483957219251337,970,8,2,-1,32,1671362532
1,2,30606,32015,1410,6,1,1.6666666666666667,0.02127659574468085,0.02127659574468085,30,8,2,-1,32,1671362532
4,0,19814,29108,9295,86,90,8.941176470588236,0.051855836471221085,0.051855836471221085,482,8,2,-1,32,1671362532
4,1,29110,30902,1793,172,33,3.1046511627906983,0.6480758505298383,0.6480758505298383,1162,8,2,-1,32,1671362532
4,2,30904,32016,1113,16,2,2.066666666666667,0.05929919137466307,0.05929919137466307,66,8,2,-1,32,1671362532
2,0,19812,29107,9296,108,90,7.934579439252336,0.0708907056798623,0.0708907056798623,659,8,2,-1,32,1671362532
2,1,29109,30875,1767,169,52,2.7573964497041423,0.6281833616298812,0.6281833616298812,1110,8,2,-1,32,1671362532
2,2,30877,32015,1139,19,3,2.333333333333333,0.06672519754170325,0.06672519754170325,76,8,2,-1,32,1671362532
5,0,19814,29108,9295,102,90,8.118811881188119,0.06573426573426573,0.06573426573426573,611,8,2,-1,32,1671362532
5,1,29110,30624,1515,148,36,2.72972972972973,0.6323432343234323,0.6323432343234323,958,8,2,-1,32,1671362532
5,2,30626,32016,1391,6,1,1.6666666666666667,0.021567217828900077,0.021567217828900077,30,8,2,-1,32,1671362532
6,0,19814,29108,9295,97,90,8.447916666666666,0.0614308768154922,0.0614308768154922,571,8,2,-1,32,1671362532
